리뷰,rep,index,Processing,평가
남산타워도 보이고 전망도 예쁘네요.,2,8,"['남산타워', '도', '보이', '고', '전망', '도', '예쁘다']",긍정
유럽다녀 온지 얼마 안 되어서 그런지 유럽이 더 좋네요.,0,9,"['유럽', '다니다', '온', '지', '안', '되어다', '그렇다', '유럽', '더', '좋다']",긍정
산책 하기에는 매우 좋은 것 같습니다.,1,9,"['산책', '하다', '매우', '좋다']",긍정
단점은 비가 온 후 자전거 도로에 물이 고여 있어서 자전거 타기가 힘듦니다,2,9,"['단점', '은', '비', '온', '후', '자전거', '도로', '물이', '고여', '자전거', '힘들다']",부정
여의도에 살고싶네용,0,10,"['여의도', '살', '고', '싶다']",부정
매일 산책하기 좋은곳입니다,1,10,"['매일', '산책', '하다', '좋다', '곳', '이다']",긍정
더현대서울 갔다가 바람쐬러 왔어요,2,10,"['더', '현대', '서울', '가다', '바람', '쐬다', '오다']",부정
유람선타고 라이브음악과 해지는 모습과 서울의 강남과 강북을 잇는 한강에 빠져본다 주차도좋고 식사도 가능하고 맥주는 마실수있는 곳,0,11,"['유람선', '타고', '라이브', '음악', '해지', '는', '모습', '서울', '강남', '강북', '잇다', '한강', '빠지다', '보다', '주차', '도', '좋다', '식사', '도', '가능하다', '맥주', '는', '말다', '곳']",긍정
여름밤에 더할나위 없이 좋은 장소예요.,0,12,"['여름밤', '더하다', '나위', '없이', '좋다', '장소', '예요']",긍정
주말엔 주차가 어려워 평일 저녁 추천 합니다.,1,12,"['주말', '엔', '주차', '어렵다', '평일', '저녁', '추천', '하다']",긍정
평일 저녁에도 사람 많고 분위기 정말 좋아요,2,12,"['평일', '저녁', '에도', '사람', '많다', '분위기', '정말', '좋다']",긍정
한강을 바라보고 우측에는 유람선 타는 곳 편의점에서 한강라면 많이들 먹고요,3,12,"['한강', '바라보다', '우측', '에는', '유람선', '곳', '편의점', '한강', '라면', '많이', '들다', '먹다']",긍정
이른 저녁엔 달이 정말 예뻐요.,4,12,"['이르다', '저녁', '엔', '달이', '정말', '예쁘다']",긍정
중간 부분에는 얕게 발목~무릎 정도까지 발 담글수 있는 물놀이 시설 있어요.,5,12,"['중간', '부분', '에는', '얕다', '발목', '무릎', '정도', '발', '담그다', '물놀이', '시설']",부정
크록스 같은 신발신고 발 담그기 좋아요.,6,12,"['크다', '록스', '신발', '신고', '발', '담그다', '좋다']",긍정
좌측 무대에선 운 좋으면 공연하는 모습도 볼수 있어요.,7,12,"['좌측', '무대', '에선', '운', '좋다', '공연', '하다', '모습', '도', '보다']",부정
세계불꽃축제 마포대교에서 관람 대중교통으로 이동하기 좋은곳으로 단지 인파가 상단ㅇ히 많아요,0,13,"['세계', '불꽃', '축제', '마포대교', '관람', '대중교통', '이동', '하다', '좋다', '곳', '인파', '상단', 'ㅇ', '히', '많다']",긍정
너무 예쁜 곳이에요.,0,14,"['너무', '예쁘다', '곳', '이에요']",긍정
낮에도 예쁘지만 역시 야간에 와야 더 예쁠 것 같았어요.,1,14,"['낮', '에도', '예쁘다', '역시', '야간', '오다', '더', '예쁘다']",긍정
버스킹 노래소리도 좋았고 특히나 하늘이 정말 아름다웠어요.,2,14,"['버스킹', '노래', '소리', '도', '좋다', '특히', '하늘', '정말', '아름답다']",긍정
유람선을 타볼까했지만 시간이 애매해서 탑승하진 못했어요.,3,14,"['유람선', '타', '보다', '하다', '애매하다', '탑승', '하다', '못', '하다']",부정
좋은 추억들을 많이 만들기에 충분한 공간이에요.,4,14,"['좋다', '추억', '많이', '만들기', '충분하다', '공간', '이에요']",긍정
"4.0 한여름낮에는 뜨겁지만, 봄에는 벚꽃, 10월에는 불꽃축제, 겨울을 제외하곤 피크닉 가족, 연인들, 자전거, 조깅하는 사람들이 많이 찾습니다.",0,15,"['4.0', '한여름', '낮', '에는', '뜨겁다', '봄', '에는', '벚꽃', '10월', '에는', '불꽃', '축제', '겨울', '제외', '곤', '피크닉', '가족', '연', '인들', '자전거', '조깅', '하다', '사람', '많이', '찾다']",부정
"편의점, 화장실, 배달 픽업장소, 다양한 길거리음식등이  있어 편리합니다.",1,15,"['편의점', '화장실', '배달', '픽업', '장소', '다양하다', '길거리', '음식', '편리하다']",긍정
이사하기 전 마지막으로 한강공원 방문~ 날씨도 좋고 추석 당일이라 가족 단위의 사람들이 엄청 많았다.,0,16,"['이사', '하다', '전', '마지막', '한강', '공원', '방문', '날씨', '도', '좋다', '추석', '당일', '이라', '가족', '단위', '사람', '엄청', '많다']",긍정
"한강 오면 또 빠질 수 없는 한강라면까지 최고ㅠㅠ 과자랑 음료수(특히 맥주), 돗자리 등등을 사오는 걸 추천함.",1,16,"['한강', '오다', '빠지다', '수', '없다', '한강', '라면', '최고', 'ㅠㅠ', '과자', '랑', '음료수', '특히', '맥주', '),', '돗자리', '사오다', '걸', '추천', '함']",긍정
서울 오리지널 명소 중 하나죠,0,17,"['서울', '리지', '널', '명소', '중', '죠']",부정
가끔 오면 정말 좋습니다,1,17,"['가끔', '오다', '정말', '좋다']",긍정
이 날은 마침 에어쇼도 해서 좋은 구경 했습니다,2,17,"['날', '은', '마침', '에어쇼', '도', '하다', '좋다', '구경', '하다']",긍정
뭐 드실 거면 배달음식이나 다른 곳에서 포장해 오십쇼 한강공원 내부에 있는 가게들은 모두 강한 비추 드립니다,3,17,"['뭐', '들다', '거', '면', '배달', '음식', '이나', '곳', '포장', '하다', '오십', '쇼', '한강', '공원', '내부', '가게', '은', '강하다', '비추다', '드리다']",부정
그래도 즉석 라면은 즐기지 않을 수 없죠,4,17,"['즉석', '라면', '은', '즐기다', '않다', '수', '없다']",부정
인정합니다,5,17,"['인정', '하다']",긍정
9월 초 기준 더위도 한풀 꺾였으니 즐거운 시간 보내세요,6,17,"['9월', '초', '기준', '더위', '도', '한풀', '꺾다', '즐겁다', '보내다']",긍정
반려견 동반 환경에티켓을 잘 지키면 반려견도 함께할 수 있지만 반려견을 위한 공간은 아니긴 합니다,7,17,"['반려견', '동반', '환경', '에티켓', '자다', '지키다', '반려견', '도', '하다', '수', '반려견', '위', '한', '공간', '은', '아니다', '하다']",긍정
피크닉 구역돗자리는 잔디 위에만 까셔야 합니다,8,17,"['피크닉', '구역', '돗자리', '는', '잔디', '위', '에만', '깔다', '하다']",긍정
달빛뮤직크루즈타러 갔다가 라면도먹고 분위기도 즐겼어요,0,18,"['달빛', '뮤직', '크루즈', '가다', '라면', '도', '먹다', '분위기', '도', '즐기다']",긍정
상인과 시민이 체계적으로 움직이는 느낌,1,18,"['상인', '시민', '체계', '적', '움직이다', '느낌']",부정
오늘 날씨가 너무너무 좋아서 한강 나들이 온 사람들이 많아 저도 덩달아 들떴답니다,0,19,"['오늘', '날씨', '너무', '너무', '좋다', '한강', '나들이', '온', '사람', '많다', '도', '덩달아', '들뜨다']",부정
돗자리대여 보증금7천원 +미니책상&돗자리&물티슈5천원 이에요,1,19,"['돗자리', '대여', '보증금', '7천원', '미니', '책상', '돗자리', '물티슈', '5천원', '이에요']",부정
699 9833520170877456반납하 면보증금 현금으로돌려받아요!,2,19,"['699', '9833520170877456', '반납', '면', '보증금', '현금', '돌리다', '받다']",부정
저는여의나루세븐일레븐앞상점에서빌렸어요ㅋㅋ,3,19,"['는', '여의나루', '세븐일레븐', '앞', '상점', '빌리다', 'ㅋㅋ']",부정
갈매기가 많아서바닷가 온줄요ㅋㅋㅋㅋㅋ,4,19,"['갈매기', '많다', '바닷가', '오다', 'ㅋㅋㅋㅋㅋ']",긍정
한강라면은 운치있어더맛있 게느껴져요,5,19,"['한강', '라면', '은', '운치', '더', '맛있다', '게', '느껴지다']",긍정
6 9998 3 352 0170877456가져가는동안불어버리는단점 이있지만 😅라면4천원+맥주2캔8 천원+프링글스 4천원+솜사탕3 천원😁키킥혼자다 먹었네용,6,19,"['9998', '352', '0170877456', '가져가다', '불어', '버리다', '단점', '이다', '😅', '라면', '4천원', '맥주', '캔', '천원', '프링글스', '4천원', '솜사탕', '천원', '😁', '키킥', '다', '먹다', '용']",부정
즐거운 하루. . !! !,7,19,"['즐겁다', '하루', '!!']",긍정
안녕👋 ✨️,8,19,"['안녕', '👋', '✨️']",긍정
"2023. 09. 15. 금요일 여의나루 한강공원으로 오랜만에 방문해서 맛있는 돈까스, 유람선도  타보고, 사진도 찍었습니다.",0,20,"['2023', '09', '15', '금요일', '여의나루', '한강', '공원', '오랜', '만', '방문', '하다', '맛있다', '돈까스', '유람선', '도', '타', '보고', '사진', '도', '찍다']",긍정
다음엔 또 방송으로 가보고  싶습니다.,1,20,"['엔', '방송', '가보다', '싶다']",부정
"일본 자전거 여행 전에 텐트 테스트하려고 왔는데, 개좋음.",0,21,"['일본', '자전거', '여행', '전', '텐트', '테스트', '하다', '오다', '개', '좋다']",긍정
"조용하고, 시원하고.",1,21,"['조용하다', '시원하다']",긍정
텐트 치기 딱 좋은 곳.,2,21,"['텐트', '치기', '좋다', '곳']",긍정
오수를 즐기기에도 정말 좋음 ㅇㅇ,3,21,"['오수', '즐', '기기', '에도', '정말', '좋다', 'ㅇㅇ']",긍정
아시아투데이 신문사에서 주최한 마라톤대회가 열려서 참석하 방문함.,0,22,"['아시아', '투데이', '신문사', '주최', '한', '마라톤', '대회', '열리다', '참석', '방문', '함']",부정
한강변이지만 5호선 여의나루역 2번출구로 나오면 바로 갈 수 있어 접근성이 좋음.,1,22,"['한', '강변', '호선', '여의나루역', '번', '출구', '나오다', '갈다', '수', '접근성', '좋다']",긍정
"추석 연휴라 사람들이 적을 줄 알았는데, 의외로 많은 사람들이 참여해서 10km, 5km 달리기와 5km걷기 대회가 열렸는데, 가을 날씨에 따뜻한 햇볕을 맞으면서 한강변을 걷는 즐거움이 컸음.",2,22,"['추석', '연휴', '라', '사람', '적', '줄', '알다', '의외로', '많다', '사람', '참여', '하다', '10', 'km', 'km', '달리기', 'km', '걷기', '대회', '열리다', '가을', '날씨', '따뜻하다', '햇볕', '맞다', '한', '강변', '걷다', '즐거움', '크다']",긍정
가을에 운동도 하면서 한강 풍경을 즐길 수 있는 아주 좋은 장소임.,3,22,"['가을', '운동', '도', '하다', '한강', '풍경', '즐기다', '수', '아주', '좋다', '장소', '임']",긍정
여의도 불꽃축제를 처음으로 다녀왔다,0,23,"['여의도', '불꽃', '축제', '처음', '다녀오다']",부정
우리나라팀이 역시나 기술면에서 아름다움을  적극 표현해주었다 저녁이후론 혼잡과 무질서가 가득했으나 불꽃쇼로 모든것을 잊었다,1,23,"['우리나라', '팀', '역시', '기술', '면', '아름답다', '움', '적극', '표현', '해주다', '저녁', '이후', '론', '혼잡', '무질서', '가득하다', '불꽃', '쇼', '모든', '잊다']",긍정
"한강변 잔디밭에서 남녀 데이트 장소, 아이들 동반 가족단위, 고교나 대학 단체 모임, 외국인 여행자 등 정말 다양한 사람들의 휴식처.",0,24,"['한', '강변', '잔디밭', '남녀', '데이트', '장소', '동반', '가족', '단위', '고교', '대학', '단체', '모임', '외국인', '여행자', '정말', '다양하다', '사람', '휴식', '처']",긍정
"편의점도 있고, 노점상에서 돗자리 등 대여 및 각종 간편식도 판매.",1,24,"['편의점', '도', '노점상', '돗자리', '대여', '간편식', '도', '판매']",긍정
배달존을 활용한 배달음식도 가능.,2,24,"['배달', '존', '활용', '한', '배달', '음식', '도', '가능']",긍정
편하게 지하철 타면 여의나루역에서 바로 연결되어 접근성도 좋음.,3,24,"['편하다', '지하철', '여의나루역', '연결', '되어다', '접근성', '도', '좋다']",긍정
"화장실, 흡연공간, 쓰레기 처리장소 등 편의시설도 잘 되어있음.",4,24,"['화장실', '흡연', '공간', '쓰레기', '처리', '장소', '편의', '시설', '도', '자다', '되어다']",긍정
선셋크루즈 타러 왔는데 해가 늦게 져서 저녁먹고 다시 와서 야경사진 찍었어요.,0,25,"['선셋', '크루즈', '오다', '해', '늦다', '져서', '저녁', '먹다', '다시', '오다', '야경', '사진', '찍다']",부정
바람불어 시원하고 야경도 너무 예뻤어요.,1,25,"['바람', '불어', '시원하다', '야경', '도', '너무', '예쁘다']",긍정
낮에는 너무덥고 저녁부터는 바람도 불고 선선해지니 사람 들로 인산인해 친구나 연인끼리 시원한 맥주 한잔하면서 초가 을의 맛을 느껴 보시면 좋을듯,0,26,"['낮', '에는', '무덥다', '저녁', '부터는', '바람', '도', '불', '고', '선선해지다', '사람', '들다', '인산인해', '친구', '연인', '끼리', '시원하다', '맥주', '한잔', '하다', '초가', '맛', '느끼다', '보시', '면', '좋다']",긍정
2023-12-10 한강시민마라톤대회 참가 차 방문.,0,27,"['2023-12', '10', '한강', '시민', '마라톤', '대회', '참가', '차', '방문']",긍정
널찍하고 깔끔하고 시원하고 좋다.,1,27,"['널찍하다', '깔끔하다', '시원하다', '좋다']",긍정
날씨가 추워도 여자친구 손잡고 데이트 하기에 이만한 장소가 없다~~  한강공원오면 한강라면이지!,0,28,"['날씨', '춥다', '여자친구', '손잡다', '데이트', '하다', '이만', '한', '장소', '없다', '~~', '한강', '공', '원오', '면', '한강', '라면', '이지']",긍정
화장실간이화장실 있음,1,28,"['화장실', '간', '화장실']",긍정
서울에 살기를 잘했다는 생각을 들게 하는 최고존엄 한강공원.,0,29,"['서울', '살기', '잘', '하다', '생각', '들다', '하다', '최고', '존엄', '한강', '공원']",긍정
돗자리 대여해주는 사람들이 짜증나게 구는 것 빼고는 다 완벽.,1,29,"['돗자리', '대여', '해주다', '사람', '짜증나다', '는', '빼다', '다', '완벽']",부정
"불꽃축제 한다고 해서 한 번 가봤는데 정말 풍경도 좋고 넓어서 좋았고, 불꽃놀이도 예뻤어요!!",0,30,"['불꽃', '축제', '하다', '하다', '하다', '번', '가보다', '정말', '풍경', '도', '좋다', '넓다', '좋다', '불꽃놀이', '도', '예쁘다', '!!']",긍정
다음에도 또 놀러 가려구요 ㅎㅎ,1,30,"['에도', '놀다', '가다', 'ㅎㅎ']",긍정
지하철역에서 접근성이 좋아 예전부터 젊은이들 즐겨 찾던 곳입니다.,0,31,"['지하철역', '접근성', '좋다', '예전', '젊은이', '즐기다', '찾다', '곳', '이다']",긍정
코로나 시국을 지나 젊은이들이 바글바글한 곳입니다.,1,31,"['코로나', '시국', '지나', '젊은이', '바글바글', '한', '곳', '이다']",긍정
따뜻한 날씨가 되면 물반 고기반으로 발 디딜틈 없이 돗자리들이 빽빽하게 차지합니다.,2,31,"['따뜻하다', '날씨', '되다', '물반', '고', '기반', '발', '디디다', '틈', '없이', '돗자리', '빽빽하다', '차지', '하다']",긍정
이십 오년여만에... 고국으로 돌아와보니 너무너무 많이 변해있습니다,0,32,"['이십', '년여', '만에', '고국', '돌아오다', '보다', '너무', '너무', '많이', '변하다']",부정
그중에서 빼놓을 수 없는 곳이 바로 지하철과 함께 여의도 한강변에 있는 공원들입니다.,1,32,"['중', '빼놓다', '수', '없다', '곳', '지하철', '여의도', '한', '강변', '공원', '들이다']",부정
합정에서 다녔던 한강주변의 강들은 감동 그 자체입니다 🇰🇷 🇰🇷 🇰🇷 🇰🇷,2,32,"['합정', '다니다', '한강', '주변', '강', '은', '감동', '자체', '이다', '🇰🇷', '🇰🇷', '🇰🇷', '🇰🇷']",긍정
이렇게 많이 변하다니요!,3,32,"['이렇게', '많이', '변하다']",부정
"시간이 되는 분들은, 한번씩 다녀오시면 몸과 맘이 치유가 되는 곳이기에 적극 추천드립니다 💜 💕 ⛱️  ⛱️  ⛱️ 💕 💜",4,32,"['되다', '분', '은', '한번', '씩', '다녀오다', '몸', '맘', '치유', '되다', '곳', '이기', '적극', '추천', '드리다', '💜', '💕', '⛱️', '⛱️', '⛱️', '💕', '💜']",긍정
몇년만에 왔는데 더좋아지고 먹을거 많고 사람많고.,0,33,"['만에', '오다', '더', '좋아지다', '먹다', '많다', '사람', '많다']",긍정
서울Life를 즐겨보기 위해 와이프와 가본 여의도 한강공원.... 와...,0,34,"['서울', 'Life', '즐기다', '보기', '위해', '와이프', '가보다', '여의도', '한강', '공원', '....', '오다']",부정
날씨 겁나 좋...덥다....,1,34,"['날씨', '겁나다', '좋다', '덥다', '....']",긍정
나무에 이파리가 읍어서 그늘을 찾기 힘들었지만 일단 앉고 보자!!!,2,34,"['나무', '이파리', '읍', '서', '그늘', '찾기', '힘들다', '앉다', '보다', '!!!']",긍정
돗자리도 빌리고 음식도 사먹고 나름 여유로움을 즐겨볼 수 있는 하루였습니다.,3,34,"['돗자리', '도', '빌리다', '음식', '도', '사먹다', '나름', '여유', '로움', '즐기다', '볼', '수', '하루', '이다']",긍정
주변에 노상에서 파는 음식들이 조금(?) 비싸긴 하지만 어쩌다 한번이니까...,4,34,"['주변', '노상', '팔다', '음식', '(?)', '비싸다', '어쩌다', '한번', '이니까']",긍정
사람도 구경하고 벚꽃도 구경하고...,5,34,"['사람', '도', '구경', '하고', '벚꽃', '도', '구경', '하고']",긍정
덥지만 않았다면 좀 더 즐겨보았을텐데 좋아도 너무 좋은 4월1일 만우절 토요일이였네요,6,34,"['덥다', '않다', '더', '즐기다', '보다', '좋다', '너무', '좋다', '4월', '1일', '만우절', '토요일', '이다']",긍정
나중에 조금 선선해지면 아이들도 함께해서 다시 가볼 예정입니다,7,34,"['나중', '선선해지다', '도', '하다', '다시', '가보다', '예정', '이다']",긍정
넘 더워서 라면을 못 먹었거든요 ㅎㅎㅎ,8,34,"['넘다', '덥다', '라면', '못', '먹다', 'ㅎㅎㅎ']",긍정
아 치킨도 시켜먹어야지!!!!ㅋㅋ,9,34,"['치킨', '도', '먹다', '!!!!', 'ㅋㅋ']",긍정
물이 흐르는 발 담글수 있는 수로가 있어 아이가 매우 좋아함.,0,35,"['물이', '흐르다', '발', '담그다', '수로', '매우', '좋아하다']",긍정
치킨배달 됨.,1,35,"['치킨', '배달', '되다']",긍정
음주 가능.,2,35,"['음주', '가능']",긍정
이만한 소풍이 없음.,3,35,"['이만', '한', '소풍', '없다']",긍정
이벤트가 없을때 가면 좋은듯해요...,0,36,"['이벤트', '없다', '가면', '좋다', '듯해', '요']",긍정
근무하다가 샌드위치 사들고 벤치에서 점심 시간 보내기 좋은곳!,1,36,"['근무', '하다', '샌드위치', '고', '벤치', '점심', '보내다', '좋다', '곳']",긍정
그늘자리는 나름 경쟁이 심하네요 ㅋㅋ,2,36,"['그늘', '자리', '는', '나름', '경쟁', '심하다', 'ㅋㅋ']",부정
불꽃축제에 다녀왔습니다.,0,37,"['불꽃', '축제', '다녀오다']",긍정
오랜시간 기다린 보람이 있는 멋진 불꽃놀이 였습니다.,1,37,"['오랜', '기다리다', '보람', '멋지다', '불꽃놀이', '이다']",긍정
좋아하는 곳이에요,0,38,"['좋아하다', '곳', '이에요']",긍정
자전거 타기도 좋고 야경도 좋고 유람선도 추천요 안에서 공연도 해요,1,38,"['자전거', '타', '기도', '좋다', '야경', '도', '좋다', '유람선', '도', '추천', '요', '안', '공연', '도', '해', '요']",긍정
걷기가 좋은 환경이라 너무 좋았어요,0,39,"['걷기', '좋다', '환경', '이라', '너무', '좋다']",긍정
꽃들 많이 심어놓은 공원을 기대하고 갔는데 꽃은 별로 없네요.,0,40,"['꽃', '많이', '심다', '공원', '기대하다', '가다', '꽃', '은', '별로', '없다']",긍정
그래도 탁 트인 한강 구경하기엔 좋네요.,1,40,"['탁', '트이다', '한강', '구경', '하다', '좋다']",긍정
"노을지는 한강을 바라보며, 산책하기 좋은곳.",0,41,"['노을', '지는', '한강', '바라보다', '산책', '하다', '좋다', '곳']",긍정
피크닉하기엔 적합한 장소에요.,1,41,"['피크닉', '하다', '적합하다', '장소', '에요']",긍정
시원한 강바람을 맞으며 보는 풍경이 가슴이 뻥뚫리는 멋드러지는 곳입니다.,2,41,"['시원하다', '강바람', '맞다', '보다', '풍경', '가슴', '뻥', '뚫리다', '멋', '드럽다', '곳', '이다']",부정
종종 이곳에서 행사도 진행하는데 보고만있어도 같이 즐거워지는곳네요.,3,41,"['종종', '곳', '행사', '도', '진행', '하다', '보고', '만', '즐겁다', '곳', '요']",긍정
"다만 사람들 많이 몰려서인지 아직 쓰레기 버리는 시민의식이 부족해서인지 길바닥, 쓰레기통주변 아무데나 버려져있어서 이건 아쉬웠습니다.",4,41,"['사람', '많이', '몰리다', '인지', '아직', '쓰레기', '버리다', '시민', '의식', '부족하다', '길', '바닥', '쓰레기통', '주변', '아무', '데', '버려지다', '이건', '아쉽다']",부정
또 일부 자전거 타시는분들이 횡단보도를 사람들 지나가고있는데 멈추지도 않고 무서운 속도로 그냥 지나가면서 산책하러 다시는분들에게 큰소리로 길방해된다고 욕하고 지나가는데 정말이지 최악이었습니다.,5,41,"['일부', '자전거', '분', '횡단보도', '사람', '지나가다', '멈추다', '않다', '무섭다', '속도', '그냥', '지나가다', '산책', '하다', '다시다', '분', '큰소리', '길', '방해', '되다', '욕', '하고', '지나가다', '정말', '이지', '최악', '이다']",부정
좋은기억만 가저갈수있었는데 일부 몰상식한 사람들때문에 그러지는 못할것 같습니다.,6,41,"['좋다', '기억', '만', '가다', '갈수', '일부', '몰상식하다', '사람', '때문', '그렇다', '못', '하다']",긍정
봄에는 벚꽃.,0,42,"['봄', '에는', '벚꽃']",부정
여름밤엔 맥주.,1,42,"['여름밤', '엔', '맥주']",긍정
가을 피크닉 등 잔디에 돗자리나 텐트를 가지고 여유와 계절을 즐길 수 있는 곳.,2,42,"['가을', '피크닉', '잔디', '돗자리', '텐트', '가지', '고', '여유', '계절', '즐기다', '수', '곳']",긍정
