,0
10,건강관리를 위해 자주 가는데 너무 좋습니다. 👍…
11,밤 산책 하기 좋아요. 자전거 있는 곳이랑 도보랑 잘 확인하고 걸으세요.위험해요.
12,"주말에 다녀오기 좋은 장소입니다. 무지개분수도 예쁘고 통닭과 즉석
라면도 맛나게 먹고 공연도 보면서 저녁의 시간을 알차게 보냈습니다. 푸드트럭도 보이네요"
13,한강 세빛둥둥섬과 반포대교가 어울린 풍경이 아름답습니다.
14,한강시민공원 반포지구에 있는 세계에서 가장 긴 분수입니다. 여름철 야간에 가보면 화려한 조명과 함께 시원한 물줄기가 쏟아져 나오는 장관을 보신 수 있습니다. 동절기에는 작동을 중단하오니 겨울에는 가지 마십시오. 강추합니다.
15,"플리마켓을이용했고
푸드트럭도 있어 먹거리가 있어요
잠수교 분수쇼는 너무 감동적입니다놀이터놀이기구가 잘 되어있고 바닥쿠션도 안전… 자세히"
16,언제가든 항상 즐거운시간 보낼수가 있는 것 같아요 오늘은 더 스타벅스 에서 이벤트를 진행 중인 더라구요 그래서 저도 참여하고 맛있는 커피 와 선물을 받고 즐거운 경험을 하였습니다
17,한강을 바라보고 오른쪽으로 가면 스타벅스가 있습니다. 왼쪽으로 가면 세빛섬이 있습니다. 그 옆으로 가면 유채꽃 축제 등을 하는 곳이 있어요. 인적이 다른 곳보다 덜하고 조용해서 즐기기 좋아요.
18,가을 마지막 무지개분수쇼도 즐기고 한강라면도 먹고 멋진 하루보내기 좋은 장소
19,주말에 여러 행사도 하고 걸어서 오가다 책도 읽고 회오리감자도 사먹고 애들 놀이등 체험도 하고 좋더라고요
20,"세계 🌏 최고👍
도심 강변 공간이 ..
소규모 축제입니다
매일매일…"
21,"운치있고 편안하게 휴식하기 좋아요!
피크닉 장소로도 추천합니다~화장실화장실은 섬? 공연장? 같은 곳 안쪽에 있어요!"
22,"새빛퀴진이라는 식당을 가게되었는데 생각보다 좋았습니다.
여러음식들과 창밖의 한강을 보며 먹는 식사
여유로웠습니다. 좋은사람들과의...
근데 유리 창 청소좀 하시길... 넘 드루운듯.."
23,와이프랑 강아지 데리고 가끔 산책나가는데 너무 좋습니다.
24,"다리에서 나오는 물분수쇼가 볼만합니다
산책하기도 넘모 좋고~"
25,"새빛둥둥섬 좋아요. 최근에 옥상 오픈했고, 편의점 Gs도 들어왔어요.(주말엔 대기줄이 매우 김)
그리고 요트도 14시부터 유료로 이용할 수 있습니다.(추천)"
26,반포한강 공원은 달빛무지개분수쇼로  유명하지요. 하지만 낮에 가서 분수만 보았네요. 그리고 세빛둥둥섬에서보는 일몰도 멋있어요..
27,서울시내여서 가장 전망좋고 시원한 산책하기좋은 아름다운 장소입니다
28,"바람 덜 부는 날씨에 가서 더 만족했던 것 같기도 한데, 사람들이 많기는 했지만 공간이 넓고 여유 있어서 편하게 쉬고 힐링하다 온 거 같아요^^ 더워지기 전에 한번 더 다녀올 예정입니다 ^^"
29,놀러가기 좋은 곳 입니다. 작은  그늘막 텐트도  저녁  7시까지 칠수있어요. 주차도 가능하고 반포대교 분수도 볼 수 있어요. 골든블루마리나에서  요트도 탈수 있어요.
30,"아직은 좀 춥습니다
탁 틔인 곳에서 자전거와 도보 여행이 좋아요
곳곳에 화장실과 주차시설이 많구요"
31,"축제기간 사람은 많았지만 좋네요~
잠수교에서 직접 분수쇼 보는것도 멋져요~"
32,"한강 시민 공원 중에서 가장 다채로운 경험을 할 수 있는 곳. 반포대교에서 쏟아지는 물줄기와 조명은 외국인들이 굉장히 흥미로워해 한다. 잠수교도 가끔 차량 통제해서 문화행사도 많은 편이고, 푸드 트럭도 매력적이다."
33,"바람쐬러 자주가는 곳이에요.
시간 맞춰가면 분수쇼도 볼수 있어서 좋아요."
34,"연인과 좋은 시간 보내기 좋네요
하지만 ㅎ하장실이 멀고 사람이 많아요
분수쇼도 은근히 짧네요"
35,"동작역 방향으로 걸어가다보면 나오는 서래섬이 아늑해서 참 좋았어요. 강을 바로 앞두고 앉아 맥주 한잔하기도 좋을 것 같아요.

동작역 방향으로 간다면 반포 주공아파트도 꼭 걸어보세요. 커다란 가로수가 나란히 심어져 있는 풍경에 감탄하며 걸었어요. 실제로 보면 더 아름다와요😻…"
36,오랫만에행사차 방문했지만 국내분들에게는 매일보는곳이라  그냥 지나칠수있지만 이번 루이비통 행사를 하면서  외국분들에는 특별한 장소가될듯 싶네요
37,한쪽만 나와서 조금은 아쉬웠음
38,야경 너뮤 이쁘고 낭만짱 👍🏻👍🏻…
39,"날씨 좋은날에는 그늘막텐트나 돗자리 가지고 나가 바람쐬기 딱 좋습니다. 자전거 그늘막등은 유상대여도 해주는걸로 알고있습니다. 산책도하고 여유롭게 소풍을 즐길수있게 도심한복판의 넓은공원이 있어서 좋습니다.
한국을 방문한 외국친구들도 이곳을 무척 좋아합니다."
40,서울시내라 좋다 지하철 도보로 접근가능
41,주차장도 다른 한강공원보다 넓고 분수쇼 할때 맞춰가면 너무 예뻐요
42,"오늘 날씨랑 하늘 진짜 맑고 좋았는데 달까지 초승달.. 너무 예뻐서 내 추억 한 편으로 저장할 수 있는 시간을 가졌다♡
ㅠㅠ 그리고 지방러로서의 꿈이 하나 생겼다.. 꼭 어른돼서 서울 살아서 다시 한강공원 분수 보러 올 것임...! ㅠㅠ 아이윌 비 백..🌆🌃…"
43,"세빛섬 게임존, 밤도깨비 야시장, 분수쇼, 수상모터쇼, 불꽃쇼 ...등등 다른건 다 좋은데...주차가 넘 어렵습니다! 차도 많고 대기도 길고..어떻게든 힘든거니까 대중교통을 이용하는게 훨 났다고 생각합니다!
화장실도 좀 여유있게 했음 좋겠네요! 대기줄이 어마무시하게 깁니다! 기다리다가 실수할거 같음! ㅉㅉ
뭐 사든 줄을 서고 대기해야 하며 쓰레기 버릴때 마저 줄을 서야 합니다! ㅜㅜ"
44,연주회도 하고 공연도 하고~~  분위기도 좋고 시원한 가을날 너무 좋습니다. 다만 지금 푸드트럭 야시장 행사도 있고 날도 좋아서인지 진짜 사람이 너무 많아요. ㅜ 4시경 들어갈때 양호했는데 8시경 나올때 보니 진짜 사람 엄청 밀리네요. 그래도 분위기 너무 좋습니다. 차는 절대 가지고오지 마세요.
45,고즈넉하고 강바람 시원해서 밤산책이 즐거웠습니다
46,서늘한 가을이 가장 빛나보이는 장소 휴식을 만끽한다라는 문장이 가감없이 가장 어울리는 공원이자 서울사람들이 사랑하는 명소이다!!
47,늦여름 - 초가을에 정말 좋다. 개인적으로는 반포대교 동쪽보다 서쪽을 더 선호. 아크로리버파크 앞에 자리 잡고 앉아서 강 건너 이촌쪽 보면서 멍 때리면 세상 평온함. 부대시설 음식점도 나름 다양하고 강아지랑 애기들 오가는 분위기가 평화로움.
48,"평일 저녁인데도 사람이 많음.
관광온 외국인들이 많이 보였다.
돗자리에 앉아 분수쇼를 보며 배달음식을 먹고 술 마시기 좋은 분위기가 형성되어 있슴."
49,반포에서의 야시장은 가히 최고! 오픈을 조금 더 빨리 하면 좋겠지만 아쉽게도 6시부터 오픈.. 야시장과 세빛둥둥섬을 제외하고는 아무것도 할 것이 없는 것도 조금 단점..?! 그래도 음식은 대부분 맛있어요😊…
50,고속터미널역에서 걸어서 25분 정도 걸렸어요. 주차공간도 넓으니 차로 와도 좋겠네요. 평일은 한산했습니다. 날 좋을 때 와보면 더 좋을 것 같아요.
51,"불빛도 이쁘고 배경음악들도 좋습니다
다만 주말같을때는 주차 30~40분 대기..
뚜벅이가 최고요"
52,"7m이상되는 대교옆단 음악분수의 현란함과 수상보트의 공연으로
볼만하고 공원이 깨끗한 편이었으나 한쪽으로만 분수가 설치되어 구경인파가 몰려있고 공원크기에 비해 외부에 화장실,쓰레기처리시설,편익시설 등이 부족한 듯 보였습니다."
53,사람들이 많이 찾는 곳이라 그런지 주변환경이 깔끔하게 잘 정리되어 있습니다. 여름밤 더위 식히기 딱 좋은 곳
54,낮에 와서 좀 허전했어요 그러나 걷으면서 둘려볼때 장식품 디자인 보는것 좋았어요 저녁에 밤에 오면 주변이 더 이쁘고 좋을것 같아요 바람세려 운동으로 느끼는 한강의 멋 느끼고요
55,자전거 타시는분 낚시하시는분 가족끼리 나들이 나오신분 사람이 꽤 많아요~~^^ 관리가 잘되는듯 합니다. 깨끗하고 좋아요~
56,선선한 날씨여서 지금가기 딱 좋습니다~
57,사람이 많고 편의점이나 화장실 이용할때마다 줄을 서야 할 정도로 몰리니 참고하시고 저녁에 주차된 차량들 빠지는데 한참 걸립니다... 그래도 시원하고 좋네요
58,"동작대교 쪽에서가는길 에 구름까페
와 노을까페가 눈앞에 보이네요 멋지
군요 좀더가보면 더리버까페가 있죠
멋진배도 있고커피도 한잔할수있어 좋아요 오늘은 공사중이군요 좀
아쉬워 요"
59,"음악이 나오는 무지개분수를 볼 수 있어서
정말 낭만적이에요
잠수교 산책하기에도 좋구요
세빛둥둥섬 안에 있는 pim이라는 키즈카페도 잘되어있어요 단지 비용은 비쌉니다
세빛둥둥섬 반대편 쪽으로 계속 가다보면 아이들 무료놀이터 있어요 거기도 아이들이 좋아해서 자주갔네요
주말에는 주차하는 차가 많아서
잠수교 길이 많이 막혀요"
60,돗자리 없이도 앉을 곳이 많아 편하고 안에 건물들도 적당히 화려하게 꾸며놔서 좋다. 산책하기가 좋아 날씨 맑을 때마다 항상 생각나는 곳.
61,"서울 한강에서 즐기는 피크닉. 무엇보다 그늘막 텐트 설치가 가능한 공원이라는 점이 매력적이다.  날씨만 좋으면 진짜 최고의 한강 경치를 만끽할 수 있는 곳. 당연하지만 배달음식도 가능하고 근처 편의점에서 라면이나 분식도 구매 가능하며, 저녁에는 새빛둥둥섬과 반포대교의 라이트 점등으로 무척 멋진 야경을 볼 수 있는 장소.
연인들에게 가족들에게 정말 좋은 휴식처가 되어주는 곳이다.
주차는 반포대교 노상 공영 주차장을 이용하면 되고, 화장실은 미니스탑 편의점 옆에 위치해 있으며 공간은 많지 않지만 깨끗하게 관리되고 있다.
반포대교 달빛 무지개 분수는 평일 정오, 오후8시, 오후 8시30분, 오후9시 4번 운영하며, 주말에는 오후 7시 30분에 추가 운영하고 매 운영시 20분간 계속된다."
62,"매주 금토 저녁에 야시장이 열리고 있다. 야시장이라지만 먹거리 위주의 시장이고, 특색있는 푸드트럭이 많다. 명동보다 훨씬 저렴하고 양도 만족스러워서 관광객들에게도 께 도움이 될 것. 길 건너 새빛둥둥섬이 있다."
63,분수가 나오는 시간이 있는데 찾아보고 오는게 좋을듯. 우연히 본 분수쇼가 너무 예뻣음. 반포한강공원 말해뭐해.화장실휴지도 있고… 자세히
64,"버스잘못타서 반대로 가야는데 건너질못해 반포대교 고아되버렸어요 ㅠㅠ 그덕에 반포대교 운동하시는 분들 구경 실컷했네요 시원시원한곳이었네요
근처 아파트도 뜨아~~~"
65,"낮에도 밤에도 예쁜 반포한강공원.
잠수교에서 시내버스 이용도 가능.
아들을 잃은 아픈 사고가 있었던 장소."
66,와인시음회 참여후 연예인 차 타고 지하철까지
67,금토 밤도깨비야시장이. 열리고 공원에서 시원한 바람을 느끼며 먹는 야식은 굿. 새빛섬구경도하고 멋진 한강 야경은 보나스
68,"자전거 타기 좋습니다.
피크닉도 좋음"
69,"""미교""버스킹도 봤당!!목소리 감성울림ㅜㅜ!! 맛있는푸드 트럭  천지~~ 차도 많구 사람두 많구 씐나고 맞다 차갖구가믕..... 핡... 한숨100번나옴 들어가는 입구찾아 3번 왔다갔다..  네비잘 찍으셔야함 화장실 미리 갔다 출발해야하고 물티슈 필수템 돗자리,텐트는 개인취향~"
70,언제나 야경이 멋있는 곳이에요~
71,환상의 산책공간.반려견 최고의 산책길.반려견 동반 환경환상의 산책공간
72,한강  야경은 역시 반포입니다
73,반포한강공원은 이번에 처음 가봤는데 너무 깨끗하고 이뻐서 놀랐어요. 특히 늦은 오후에 잔디위에 돗자리깔고 앉아서 음식 먹으며 한강구경을 하니 해외 유명한 공원들 하나도 부럽지않을 정도로 너무 좋았습니다.
74,"잠수교 뚜벅뚜벅 축제 기간이라 아이들과 나온 부모님, 연인들, 기후 온난화 개선에 적극 참여하는 자원봉사자 등, 많은 분들이 음식포차를 곁들인 음악을 감상하시면서 축제를 즐기고 있습니다. 한강이 이 정도로 즐길 문화가 다양하리라고는 …"
75,야경좋고 밤도깨비 야시장 음식도 맛있습니다. 대체로 웨이팅이 좀 있지만 기다리는 시간도 즐겁네요. 지금같은 날씨에 더할나위없이 즐겁습니다.
76,마음이 편해집니다. 한강공원은 힐링 공간~
77,"코로나에도 불구하고 사람들이 한가득이었던 날좋은 한강 세빛섬🤞🏻
연날리는 가족들, 돗자리 깔고 누워 여유를 즐기던 커플들과 친구들,
여러 모임들의 사람들이 해를 만끽하며 즐기는 모습이 좋았던 곳이다
날이저물어 세빛섬 안에 바디프렌즈파크에 들어가서
한강 뷰를 즐기며 10분에 2천원밖에 안하는 마사지도 받고,
꿀같은 힐링을 즐기고 나왔지롱"
78,"야경이 이쁘고 사진 찍을 곳이 많아 연인들에겐 추천. 다만 대중교통을 이용할 것을 권장함.
자가로 이동시 주차공간 찾기도 힘들고 주차장 빠져나갈때도 한시간 가까이 소요됨"
79,강바람을 느끼며 답답한 도시에서 잠시나마 쉴수있는장소
80,아름다운 풍경 아름다운 일몰 참 멋지고 아름다운 곳이죠 다만 주차장이 부족하다는 게 흠입니다
81,"낚시도하고 캠핑도하고 자전거라이딩도하고 오토바이벙개 모임도 많이함.
운동하기좋고 라면 핫바도 맛있고
무엇보다 저녁노을이 멋있음"
82,평일저녁 주말 산책코스로 최고!!
83,주차장이 넓어서 편하게 이용할 수 있어요 자전거 도로가 있어서 좋은것같아요
84,밑에 층에 치킨집도 있으며 금방 튀겨낸 친킨은 정말 맛있을수 밖에 없지요~~^^
85,잠수교 전면통제되던날 뻘이 주차장 젤바깥쪽 차선까지 넘쳤던데. 그새 싹다치우고 벌써 잔디밭에 한강텐트족들 인스타불빛 반짝반짝 대한민국 빠름빠름 👍…
86,힐링 보다는 차분히 생각을 정리 할수 있는 장소~~!!
87,"다양한 이유로 많은사람들이 모이는곳. 잔디에서 먹는 치맥은 기본. 쇼핑몰 모델,  웨딩촬영. 드라마촬영. 자전거 라이딩. 보드. 등 다양한 활동들이 분수와 어우러져있는 장소. 생각없이 물멍도 좋다. 항상 바람이 불기때문에 옷은 안춥게 입어야 한다."
88,"역시 한강은 밤에 가야죠ㅋㅋㅋㅋㅋ 낮에가도 되지만 밤에가면 더 분위기가 좋아서 데이트나 운동, 모임 등 많은 일을 할 수 있습니다! 편의점 음식으로 끼니 해결해도 되고 주변에서 배달 시켜도 음식 잘 배달 되니까 편한대로 끼니 해결하세요!"
89,"여름엔 밤도깨비야시장 사람이 많지만 한번쯤 겪어볼만 합니다.
그 외에도 무지개분수등 기타 볼거리들이 많아요."
90,반포대교 분수쇼 tv에서 보는 것 이상으로 만족스러운 장소입니다 감동은 직접 느껴보세요 바람불면 분수쇼는 쉽니다 참고하세요
91,반포한강공원에 도깨비야시장이 열려서 너무 좋더라구요! 예전에는 뭘 시켜먹거나 싸와야 했는데 이제는 맛있는 것도 먹고 좋은 구경거리들도 많아져서 데이트하기 정말 좋아졌습니다~ 불꽃놀이도 운 좋으면 볼 수 있어서 아주 좋습니다 :)
92,새빛섬 분위기도 좋고 산책하기 좋아요ᆢ 저녁엔 추워요~
93,세빛둥둥섬과 야간에 펼쳐지는 분수쇼. 강추.
94,"너무쾌적하고 거리두기도완벽
화장실은 시간이 늦어질수록 더러워지긴했지만..그래도깨끗한편
Gs25편의점은 24시간이 아님
여름밤 와인과함께한 한강
너무시원하고 좋았다."
95,"날씨좋을때 강을 보면서 치킨 등 음식 과 맥주한잔하기 매우 좋아요. 텐트를 잔디에 치고서 여유롭게 있는분들도 많고, 푸드트럭과 간이콘서트등 볼거리도 풍부합니다. 가급적이면 대중교통을 이용해야 쾌적해요."
96,"저녁이면 바람 적당히 불어서 선선하고, 얘기하고 맥주한잔 하면서 놀기 좋아요. 다만, 배달 전단지는 많지 않아요"
97,"사진보시면 왜 가야되는지 알수있어요
한강에서의 여유로움
밤에는 무지개분수, 야경
금요일 토요일에는 밤도깨비야시장
아주 좋은추억만들기 좋은곳"
98,"확트여서 힐링하기좋아,,,  잔디위에서 텐트치고 쉴 수도 있어서 더할나위 없다,,, 요트도 탈 수 있고 넘좋다"
99,8시맞춰서 분수쇼보면서 분위기 즐기다옴. 야시장도 하는데 추워서그런지. 날씨가 꾸물해서 그런지 야시장 트럭이 별로 없었는데 그게 더좋았던?ㅋㅋㅋ북적이지않고 한산해서 좋음. 편안하게 두리번거리며 산책하기 좋다. 여의도 한강공원이랑은 또 다른 맛임
100,세금둥둥섬의 야경이 이쁜곳. 데이트하기 좋음
101,"깔끔하고 주차공간이 여유있음
평일 오전에는 한가해서 바람쐬기 좋음
주변에 자전거 라이딩하는 사람이 많아서
도로는 분리되어있지만 횡단보도를 건너며
약간의 주의는 필요"
102,"편의점도 가까이있구 화장실에 휴지도 잘 되어있어서 좋았습니다
주차도 할수있고 낮이던 밤이던 언제든지 친구들과 혹은 애인과 좋은 시간을 보낼수있어서 좋았습니다😍…"
103,텐트 대여 후 소중한 사람과 같이 있을 수 있다면 그 얼마나 좋은 공원인지 :) 여름이나 가을에 완전 추천!
104,"사람들이 많다 커플죽어

그리고 세빛섬 앞에 있는 꼬치 개맛없음
걍 분위기 내려고 먹으셈"
105,가끔 바람맞으러 자전거 라이딩합니다. 도심에서 쉬러가기 좋은 한강입니다 사진은 반포 지나서...
106,"사람 없을 때 갈 수 있는 꿀팁
1. 미세먼지 많은 날 가기
2. 평일에 가기
3. 첫 타임 맞춰서 가기"
107,세빛섬 정말로 예쁘고 좋아요. 산책하고 놀기에 너무 좋네요. 세빛섬에서 바라보는 반포대교도 너무 예쁘고 보트도 탔는데 직접 운전하는 작은 동그란 모터보트라 운전재미도 있었습니다. 다만 밤 12시에는 불도 다끄고 출입을 제한하네요. 세개의 섬에 있는 건물 조명은 10시쯤 끄는것 같아요. 너무 늦게 가면 예쁜 모습 보기 힘드니 최소 8시정도에는 가시는게 좋습니다. 강바람도 시원하고 무엇보다 물이 가까워서 참 좋습니다.
108,요트투어를 꼭 하세요... 조금 비싸도 그만한 가치가 있어요ㅎㅎ 저는 7시 요트 탔는데 비눗방울 선장님의 비지엠이 특히 좋았어요 ㅎㅎ
109,반포 한강공원 새빛둥둥섬이 있는곳 요즘엔 미세먼지때문에 많이 못 간다능 새빛둥둥섬은 그냥 식당이었음 ㅠㅠ
110,반포를 사랑하는 이유 중 하나♡♡ 너무 예쁘고 잘해놨어용 언제가도 기분좋은곳이에요 ♡
111,"항상 새롭고, 힐링을 주는 공간! 선선한 저녁날 이곳에서 사랑하는 사람들과  시원한 음료, 맛있는 음식을 먹는다면 깊은 행복을 느낄 수 있을 거에요"
112,밤도깨비야시장 구경 갔어요. 반포다교 분수쇼와 분위기 즐길만 합니다. 푸드트럭 먹거리의 맛은 기대에는 못 미칩니다.
113,밤에 오니 너무 예쁜 곳이네요~ 포토존도 많고 볼거리가 많네요~ 편의점도 있고 커피전문점도 있고 즐겁게 놀다 왔어요~
114,"시원한 강바람과 탁트인 강 풍경을 즐길 수 있고, 각종 맛난 먹거리를 파는 푸드트럭과 수공예품 상점들이 있어요. 화장실 같은 편의시설이 이용객수에 비해 많이 부족한 점이 아쉽네요."
115,"Özellikle akşamları güzel bence 🌇🤩
특히 밤에 더 예쁘게 생각해요 ^^♡☆…"
116,"10월쯤가면 시원하고 좋아요. 선글라스 준비해가길 추천.
핑크뮬리는 10월이 이뻐요"
117,세빛둥둥섬♡ 너무 예뻐요. 주차 공간도 넓어서 좋아요. 밤도깨비시장열릴때에도 군것질하러 자주 찾습니다. 야경도 멋져요. 맨해튼같네요 ㅋㅋㅋㅋ
118,"한국에도 좋은곳이 참 많다.
내가 가보지 못한곳 하나하나를 찾아보는것도 괜찮을듯 야경도 멋지고 함께 간 동료들도 좋았음"
119,"시민공원으로 굉장히 잘 관리되고 있으며 뭐니뭐니해도 예쁩니다.
걷는 길, 자전거 길 모두 잘되어있어요."
120,햇빛가리개 또는 비 가림막 용도인 듯한 둥근 지붕 이 있었고 편의시설도 가깝게 있고 자전거길도 잘 닦여있어서 쾌적하고 좋았음
121,"코로나로 인해 잔디밭은 사용불가
캠핑하는 사람도 없고 비교적 한적함"
122,"반포한강공원의 하이라이트는 달빛 무지개 분수가 어닐까요? 특히 금토일 서울밤도깨비야시장이 열리는 날, 분수를 볼 수있는 계단에 앉아서, 맛있는 음식을 먹으면 기분이 좋아져요🥰 물론 한가한 평일 저녁에도 나름대로의 매력이 있는 곳이랍니다!

저는 외국인 친구들이 한국 놀러왔을때 예쁜 야경을 보여주기 위해서 꼭 반포한강공원에 데리고 온답니다!"
123,"결혼식이 있어서 빛섬 식장에
가보니 시설이 좋구요 한강이
아름다워요"
124,"우리나라 공원이 참 잘 되어 있습니다! 잔디밭에 돗자리 피고 앉아서 도시락도 먹고 치킨도 먹고 아이들은 연날리기도 하고, 저쪽엔 각종 음식점과  카페도 있구요! 자전거 타기도 좋아요^^"
125,우선 날씨도선선하고 아이들 뛰어놀기 너무좋아요
126,"자전거,스케이트보드,킥보드등 탈것을 가져오는것이 좋아요
돗자리와 간편책상등 많이준비해오시면
좋아요"
127,"넓고 야경이 이뻐서 산책하기 좋네요, 공중화장실도 깨끗해요"
128,한밤에 시원한 산책길과 커피한잔이 생각난다면 ^^
129,기대하지않고 가면 야경도 예쁘고 바람쐬기도 딱 좋다
130,"야경보러 갔는데
생각보다 더 좋았어요.
주차도 편했고 아이들과 뛰어놀기도 좋았어요."
131,자전거와 함께하면 마음이 저절로 힐링됩니다
132,"반포한강공원은 오래전에 와봤었던곳이지만 오랜만에 다시 와봤다. 사람은 엄청 많았고, 자전거타는 사람도 많았다. 매점들도 인파로 넘쳤다. 최근의 손모씨 음주 사망사고때문에 더 붐비나 싶기도하다. 공원을 주로 인근주민들이 많이 찾는지 주차장은 의외로 한자리씩 쉽게 자리가 나왔다."
133,"하늘과 맞닿은 강이 아름답다. Beer Bar도 있으니 함 이용해봐야겠다.
해질녘이 더 좋을듯하다"
