,양화한강공원리뷰
84,🫰🏻 🫰🏻…
85,"한강 공원 라면중 젤 맛없음..
같은 기계인데 왜 그럴까?
기본적으로 너무 지저분함"
86,굳굳굳
87,쾌적하고 버드나무가 많은 공원
88,방문. 운동. 휴식하기 좋은 곳놀이터아이들도 어른도 놀기 좋다화장실깨끗하고 사용하기 편해요피크닉 구역놀기 좋아요
89,"한강공원에서는 걷기, 자전거 타기, 놀기 등을 할 수 있습니다."
90,경치좋아유
91,한적
92,항상 힐링 및 산책 가능한 최애 장소!
93,한강공원은 언제가도 너무 좋습니다
94,선유도 공원을 가시려면 제2주차장에 차를 대세요
95,하늘이 매우 이쁜 계절
96,그늘진 곳이 많아 좋다
97,"당산역에서 내려서 지하도보로 걸어가면 나옵니다
8월 저녁의 강 바람도 좋고 산책하기 괜찮은 장소 입니다"
98,여기명당 편의점옆에 내려가는길
99,자전거타며 한강을 지나갈때 아름다운곳
100,좋아요
101,좀 더 밝고 안전장치가 더 확충되었으면 합니다.
102,당산역에서 꽤 가까운 한강을 따라 산책하기 너무 좋은 공원이에요. 그리고 당산역 4번출구 옆에는 여의도 사진찍기 좋은 곳도 있어요.
103,한강공원중엔 평범해요
104,아이들과 시간보내기 좋은곳 입니다.
105,좋죠
106,"양화대교 남단.
다리 아래 화장실 있음."
107,정말로 걷기와 운동하기가좋은곳입니다
108,"자전거로 또 도보로 자주 방문하는 곳입니다.
선유도공원과 선유교로 연결되어 더욱 자주 방문하게 되는 곳입니다."
109,자그마한 장미터널과 그늘막설치 가능한 곳이 있어요. 주변에 사신다면 들려보시길. 그리고 선유도 방문 추천합니다.
110,💕🥰💯…
111,걷기좋아요.깨끗하고
112,깨긋해오 주차도편하고
113,운동하기 너무 좋아요..한강이 바로 있어서 너무 좋아요
114,"선유도공원 가는길에 잠시 들어가 보았고
장미단지에 피어난 아름다운 장미🌹꽃들과 함께 주변에는 다양한 동물 모형의 조형물도 있어서 가족나들이도 좋을 것 같습니다.…"
115,"이 작은 장미 터널과 함께 사진을 찍으려면 양화한강 1번, 2번 주차장에 주차한 뒤 다리 방향으로 걸어가면 다리와 공공운동시설을 지나 계속 직진하면 된다. 노란 꽃밭(지금은 거의 다 녹색)을 지나 텐트지역을 지나갑니다. 거기에서 새끼손가락이 있는 곳을 찾을 수 있습니다. 미니스톱 한강 양화 2호 근처에 있습니다. 지난 일요일에 거기에 갔는데 여전히 괜찮았습니다. 거칠어지기 시작했습니다."
116,"장미공원? 터널? 을 기대하는 마음으로 방문했는데
생각보다 자그마하네여 ㅎㅎㅎㅎ
많은 분들이 사진찍기 위해 줄을 서계셨구
아예 각잡고 찍으시는 분들도 꽤 계시더라구요 ㅎㅎㅎ
ㅅㅏ람들 많은 건 백번 이해하는데 ㅎㅎ 장미구간이 너무 소박해서 아쉬웠어요 ㅎㅎㅎ
나머지는 걍 걷기 좋구 눕기 좋구 앉기 좋은 평화로운 한강 공원~~ 역이랑도 가깝고~~(당산역 선유도역 다 가능~) 조아여 ~~~"
117,그냥 집이 근처면 갈만 한 정도
118,해양소년단훈련장이 있는 서울 양화조종면허시험장
119,자전거타기 좋아요
120,음...  한강에 명상을 하러 갔는 사실상 낮잠자러 간 결과가 됨.. 2시간 놀다가 옴. ㅜㅜ.특징바비큐 그릴: 아니요
121,"산책코스길이 강변하고 살짝 떨어져있어요.
탁 트인 전망은 아니에요. 수풀우거짐"
122,주위풍경이 평온하고 힐링되는곳입니다 평일에 가셔야 한가집니다
123,사람도 많이 없구 저녁에 산책하러갔는데 너무 좋았어용!
124,정말 최고의 장소입니다
125,"자주찍는 사진 명소들이 있어서 좋은듯.
아는분들만 찍는곳이 있어요."
126,"다른 한강 공원보다 규모는 작아요. 하지만 사람도 덜 모이고 더 한강하고 가깝게 앉아서 시간 보낼 수 있어서 좋아요. 근처 미니스톱에서 다른 한강 공원처럼 라면도 먹을 수 있습니다. 다만 지하철 지나다닐 때, 시끄러운 점만 조금 문제 같아요. 양화대교 전망쉼터, 선유카페 여기가 개장하면 더 좋을 것 같아요."
127,"청명한 하늘 적당한바람  깨끗한공원
모든것이 완벽했다"
128,픽시타는 급식들 따릉이타는 무개념커플 과속질주하는 팩라이더들 환장의 콜라보 명소
129,잔디에 누워 하늘을 보라!
130,2인용자전거 임대는 양화1주차장으로 주차하세요
131,퇴적물 영등포
132,주말은 피하세요 자전거 너무 많아 정신없어요
133,"처음으로 YRNB 6K Run 성공한 장소
다음에는 피크닉으로 올 예정😏…"
134,한강은 언제나 굿
135,날씨 좋은날 가면 좋음
136,서울시내에 근접성 뛰어난 경관수려한 곳
137,아무래도 63빌딩 아래 공원이랑 비교는 안되네요. 그래도 그냥저냥 잠쉬 쉬다오긴 좋아요.
138,"야간에 방문했고 주차 편하고 깔끔하며 편의점 가깝고 직원도 친절하며 시원하고 사람 많고 좋았습니다.
지인과 같이 갔는데 대화하기 좋았던것 같습니다."
139,지하철과 접근성이 좋아요
140,"주변에 벚꽃구경하기 매우 좋으며
주변에 당산역 2로선이 있고 편의점등도 있어서 산책하기 매우 좋은 코스입니다. 자존거 대여도 좋고
봄에 데이트하기 좋은코스입니다"
141,자전거를 타면서 더 아름다운 곳이라고 알게된 장소
142,"그림같은 풍경이 멋진 곳입니다. 봄, 가을에 피크닉하기 정말 좋아요~"
143,봄이네요
144,걷기 좋은 산책로. 자전거 도로가 잘 되어있고 조깅하기 좋아요.
145,숨이 쉬어지는곳
146,선유도 공원하고 연계하여 볼 수 잇어서 좋음
147,한강변 산책도하고
148,산책하기 나쁘지않음
149,산책하기 좋은 곳
150,춥다..나쁘지않은 산책길
151,자전거 라이딩코스
152,전망좋고 운동기구도 많아 건강관리에 좋음.
153,좋아요
154,좋아요 !
155,운동하고 전망이 좋음
156,산책하고 운동하기 좋은 장소입니다.
157,서울의 시드니보타닉가든
158,좋아요!
159,무난띠
160,"주차장넓고 가볍게 산책하기좋아요.
카패가 따로없어서 편으점에서 모든 먹거리를 해결해야해요!"
161,굿
162,한강이 있어 가슴이뻥뚤리는 기분
163,좋아요
164,자전거 타기 좋아요
165,한강공원 중 가장 깨끗한곳
166,선유도살고싶은이유
167,"공기가좋고
운동하시는분들이많아서
너무좋습니다
물론풍경도좋구요"
168,다른 한강고수부지에 비해서 조용해서 좋아요
169,"서울의 한강 옆에서 피크닉, 자전거, 산책을 즐기기에 좋은 곳입니다."
170,"작지만 좋아요
조용하고 걷기 좋아요
주말 저녁에 갔는데 화장실도 너무 깨끗해요
남자 관리자분이 너무 깨끗하게 관리하고 계신것 같아서 기분좋게 시설 이용했어요"
171,좋아요
172,좋아요
173,자전거 타기 좋음 🚴‍♂️…
174,애들이랑가기좋음
175,피크닉을 즐기기 좋은 곳!
176,노을도 야경도 너무 예쁜곳
177,사람도 많지않고 좋았습니다
178,좋았어요
179,한강은 풍경과 바람이 다 해주는 거죠
180,👍…
181,괜춘함
182,좋아요
183,코로나 단계가 낮아지면 쉬면서 힐링하기 좋을듯...
184,쾌적하고 경관이 아름다운 공원
185,좋아요
186,한적하고 억새인지 갈대인지 풍경이 괜찮았어요
187,산책하기 좋음
188,"자전거로 자주 라이딩하는 곳인데, 이곳은 그 바운다리가 제법 길고 크다. 선유도도 있고 진입하는 곳도 여러곳인데, 여의도쪽에서 가는 자전거도로는 넘 협소하다. 특히 양화대교 부근의
편의점 앞은 항상 위험이 도사리고 있는 곳이다. 이번에는 선유도 선착장 겸 아리수만찬 선상 음식점 부근의 동영상도 촬영해 내 블로그에 올려 보았다."
189,"여의도 샛강 하구에서 강서구 가양대교까지로 한강남단에 위치하고 있습니다.둔치에 넓게 조성된 잔디밭에서 바라보는 탁 트인 전망이 다른 곳에서 쉽게 보기 힘든 풍광을 제공합니다.
인근에 선유교를 건너면 환경재생 생태공원인 선유도와 성산대교 부근의 세계최고의 높이를 자랑하는 202m 월드컵분수로 인해 더욱 아름다운 곳으로 자리잡았습니다.여의도 샛강 하구에서 가양대교까지 연결된 자전거도로가 있으며, 선유교 아래 자전거도로변의5월부터 꽃피우는 아름다운 장미꽃이 유명하여 연인 및 가족과 함께 사진 찍기에 좋은 곳입니다.
* 여의도하류 와 양화대교 아래 낚시도
가능.
*대중교통편리:2호선)당산지하철 4번출구~육교보도 숭강장~한강공원"
190,좋다~
191,지전거타고 가는곳 예뻐요겨울은 하아~~^
192,최고여 가림막다있구
193,"밤산책겸 들렀어요 강변주변엔 낚시하는 분들도 꽤 있으시더라구요
친구랑 둘이 한잔하며 불금을보내는 외국인도 있구요
좀 어둡긴 했지만 밤다리는 아름다웠어요
주차20 여분했는데 1000원 냈어요
국회의사당이 바로 옆에서 보여요
좀 일찍와서 밝을때도 산책 해보고싶드라구요^^"
194,사람많음
195,정말 쉬기 좋은 곳이에요
196,좋아요
197,사이클 라이딩
198,코로나 때문에 사람들이 많지 않네요.
199,라이딩 하다 다리 아래에서 햇살 피해 쉬기 좋음
200,저녁놀이 아름다운곳
201,좋아요
202,사람 많음. 낚시하기 좋음
203,"안양천건너기전 흐레기,지렁이사체가 너무많아 불편합니다 청소가 너무안되있어서. 속상하네요"
204,아주 👍좋아요 👍👌…
205,"한여름 한강공원은 시원합니다
양화지구는 낚시 포인트로도 유명해요"
206,한적하고 뷰가 좋다. 돗자리족이나 텐트족이 없는 곳을 찾는 날에 가는 편이다.
207,많은 자전거라이더와 운동을 하는사람 그리고 산책을 하는 사람들이 많이찾는 명소임.
208,한강 옆 나무그늘 때문에  잠시 휴식을  취하고  강바람 시원하게  불고  입구에  있는 편의점에서 구입한  간단한  간식을  먹기도 좋습니다~~
209,운동하고 산책하기 매우 좋음.
210,좋아요
211,좋음
212,잠깐 매점가기 좋은곳
213,커피한잔하기좋은곳
214,좋아요
215,"가족,친구들 산책하기도 좋고  주변에 나무와 꽃들이 비어 전경이 좋습니다~"
216,긋긋
217,좋아요 감사합니다
218,한강 공원 중에 가장 운치 있는 곳! 중간 중간에 정자도 있고 그네도 있고 ..!
219,양화대교   밑에  운동 기구가  있어서   가끔  갑니다  계속 해서  운동기구가  잘보존되길  바랍니다
220,사람 많고 자전거에 치이고 그나마 화장실 그정도인게 기적이고(찌린내 어쩔) 벌레때문에 디스코 추게되고.....
221,산책
222,아주 좋았어요
223,아침마다이런장소에서운동하기좋은장소
224,"앉아서 쉴만한 벤치는 부족하지만, 돗자리를 챙겨서 간다면 괜찮겠다"
225,"아이들놀이터가있어서밤에산책하기좋았어요~벌레들있는시기이니뿌리는모기약같은걸챙기면더좋을듯..
자전거를태우려했으나8시까지밖에대여안해준다고해서이용못한게아쉬움"
226,운동하기 너무 좋아요 굿
227,"한강공원 중 한적하고 평화로운 스팟
단 강북에서 보는 뷰를 좋아하는데(노을때문) 그게 아니라 별한개 깎음"
228,걷기 좋음
229,조아요 . 적당히 가깝고 적당히 걸을만하고
230,멋진곳. 거미와 송충이가 많음
231,운동하기너무좋아요
232,좋아요
233,집근처 녹지대공원이 있어 좋아요
234,굿
235,볼 건 없지만 걷기엔 좋음
236,"깨끗하게 관리된 공원, 근처에 편의점, 화장실 시설등 적당한 거리 간격으로 너무 좋아요:)"
237,해당화가 마날
238,"항상 좋은 곳, 좋은 개요 및 예쁜 소녀들과 함께하는 멋진 사람들 ~*"
239,"다른 한강공원에 비해 사람이 적고 한산한 듯.
평화로운 분위기가 좋았어."
240,자전거 타고 바람쐬기 좋아요
241,분위기 좋고 사람들이 많이 찾는 곳
242,응비
243,"엄청 좋음.
2주차장으로   주차후 3주차장쪽으로7분정도 이동하면 텐트 칠수있는곳 있음 아주 좋음.
다른 곳은 텐트 금지"
244,아름다운 젖은 안개
245,선유도에 과거 정수처리장을 공원으로 만든  멋진곳입니다. 사시사철 느낌이 저마다 다른 한강 휴식공간이죠
246,꽤 조용한 한강 공원 중 하나
247,다른 한강 공원에 비해 접근성이 좋고 한적합니다
248,"밤 10시 제한 덕분에 한강에 술마시고, 휘청거리는 사람들 넘쳐남. 제한을 대형 호프집이나, 노래방, 이런데만 하던가..작은 식당 주인들은 뭔죄여? 새벽에 일하시는 분들은 끼니 어떻게 때우냐?"
249,뷰는 별로
250,주차공간도 낣고 부도 좋네요
251,부부가 가끔 산책하러 갑니다.
252,"날씨도 좋고 물도 좋고 하늘도 좋고
재미있게 놀다왔습니다"
253,굿
254,공사중인곳이 있고 낚시금지 구역임에도 낚시를 하는분들이 있더라구요...ㅠㅜ
255,밤산책하기 좋은곳
256,그냥 최고!
257,양화공원선착장 아리수만찬. 자전거 타고 가다 쉬었다 가기도 좋은 곳이고 그냥 걸어와서 고기 구워먹고 술한잔 하기에도 좋은 곳. 편의점 라면 강추.
258,좋아요
259,사람 겁나마늠^^
260,강바람 휘몰아치는 가운데 녹색지대를 느낄수 있는 곳
261,아이들산책하기좋음
262,가족단위 나들이 좋습니다
263,좋아요
264,날이 좋아서 바람이 좋아서 간다
265,한강은 언제나 옳다. 숲풀을 조금만 지나면
266,"날씨도 모든게 다 좋았다
다만 공중화장실이 너무 멀다.."
267,가볍게 나들이 하기 넘 좋아요
268,각종 조형물이  멋져요
269,좋아요
270,이유는 필요없습니다.. 야경도 좋고.. 다른 한강에 비해 밀집도도 적고.. 주변에 먹거리 먹을 곳도 많고
271,굿
272,꽃은 아직이지만 공기좋고 운동하기 그만이죠
273,주차면이 적어서 안좋습니다
274,굿
275,편의점이 좀...
276,강아지와 산책하기도 좋아요.
277,그냥 좋지..ㅎ
278,추워
279,산책하기 좋은 곳
280,서울이 비싼이유
281,서울가면 꼭 가는곳.. 힐링이되는곳이에요
282,소형 선박면허 시험보러갔는데 주차도 편하고 바로 앞이라 좋았어요 경치도 굿~~~
283,날씨 좋아서 걷기 너무 좋아요.
284,편의점이 매우 잘되어있다
285,늘 새벽자전거 다네요^^
286,여의도만큼 북적거리지 않아 좋아요
287,다른곳은 차가 못들어기는곳이 많은데 이곳은 차를 댈수가 있었어요 바람이라도 쐬니 좋네요
288,사람 많아요 ㅜ
289,아름답고 멋진 곳 이죠!
290,산책하기 좋아요~~
291,기분전환으론 최고
292,"당산한강매점(새로 크게 짓는중)에 운동삼아 갔는데 비가 주르륵쥬르륵~빗소리가 넘좋고 우비입고 자전거타는 사람들, 우산쓰고 산책하는 사람들...넘넘 좋았음~^^좋은힐링..."
293,"편의시설 등 잘 갖추어진 ...
편히 쉬다 올 수 있는
주차장과 가까운.
쉼터
그리고
선유도에서 가까운...."
294,산책하기 좋아요
295,공원 좋다아 언능 공사 끝나라아아
296,봄이 오는 소리가 바람과 함께 나들이객의 옷차림과 색깔의 변화에서 읽혀집니다.
297,점심 식후 산책을 위한 좋은 곳
298,"좋아요. 한강공원을 따라 선유도 공원까지 산책하고 오면 더할나위없는 데이트 코스.
곳곳이 사진찍기도 좋아요"
299,나들이 하기 좋음
300,산책과 자전거~~
301,"깨끗하고, 한적하며, 거리를 두며 운동을 즐깁니다."
302,운동코스로치요 시원하고 한강을바라보면서요  요즘갈곳이없다보니  사람이 너무많터라고요
303,산책길 도중 자전거 길을 지나야하는 ㅠㅠㅠ 구간이 있지만 음 산책길이 넓지도 않고 음 그래도 한강이라 좋아요~~~
304,선유도공원 굿
305,봄이 오는 길에 날씨가 너무 쾌청해서 좋아요
306,멋진 장소
307,"공사중이라서 그런지 아직은..,"
308,좋아요
309,새벽에도 운동하는사람 많음.
310,운동이나 산책하기에 최고입니다
311,서울에 사는 이유!
312,한강보기좋음
313,주차장도 편리하고 가까이 편의점도 있고  더 걷다보면 선유도공원도 있고
314,좋은
315,"지하철에서 바로 한강으로 연결되어 있어서 접근이 편리하고  오른쪽 여의도나 왼쪽 선유도공원으로 갈수있어요.

2호선 당산역 4번.5번.6번 출구 어디로 나가시던 양화한강공원으로 가실수있지만 노들길 밑으로 굴다리를 건너야해요.
그것보다 4번 출구 쪽으로 가시면 밑으로 내려가시기 전에 한강공원으로 이어진 육교 길이 있구요 양화한강공원 이정표도 잘 보여요.

굴다리길은 어둡고 전망이 없지만 당산역에서 바로 연결되는 육교길은
한강과 여의도쪽 전망이 좋아서 이 길을 추천해요. 무엇보다 끝에 엘리베이터가 있어서 더 편리하고 사진찍을 공간도 약간 있어요."
316,"양화대교 밑에 운동을 하는 곳 이에요 기구가 다양합니다
아주 좋아 요.? 나 🙌 👍…"
317,잘 조성되어 산책하기 좋고 놀이터도 있어 아이들도 좋아합니다.
318,달리기에 좋습니다.
319,선유도공원 다녀왔슴
320,자전거 타기와 걷기 달리기 운동하기에 좋았씀
321,"선유도에 가려면 3주차장 이용.. 양화대교는 2주차장이
가까운데 주차면수가 그리 많진 않다."
322,다른 한강공원뷰다 아기자기자기 하지만 주택가와 지하철역과 인접한 메리트가 잇음
323,"넓은잔디와 한강조망
산책하기 좋아요"
324,역에서 공원에 가기 좋게 고가다리가 설치가 잘되어있네요 ㅎㅎ
325,"야경이 아주 멋져요
산책하기도 좋구요~~^^"
326,"산책하기좋은 곳, 미니샵에서 간식도"
327,자전거타면서 들리는 곳이에요.
328,좋아용 산책하기에 특히 좋습니다
329,좋음
330,비밀 데이트를 위한 탁월한 선택
331,산책하기 좋아요
332,코로나 때문에 사람만나기 꺼려는 지는데...답답함이 느낄때 자주가는곳
333,코로나인데도 사람들이 걷기 운동하러 나오네요.
334,한스장 양화대교점 벤치프레스 무게가 바 제외 30이 최대지만 한적하여 좋았습니다
335,산책하기좋은곳
336,사랑이 샘솟는 곳입니다~☆
337,연인과 방문하여 강을 바라보며 바람 쐬기에는 적당히 좋습니다~ 근데 12월 한강 공원은 어딜가나 드럽게 춥다~
338,"집 근처라 자주 가는 곳입니다.
계절마다 다른 느낌의 풍경을 제공해주어 좋습니다."
339,산책하기 좋아여
340,좋아요
341,걍좋음
342,가을 산책하세요
343,붐빔
344,"국민학교 동창들과
좋은 기억을 갖고 왔습니다"
345,비오거나 바람불거나 눈이와도 언제든지 이곳만 가면 운동 가능합니다
346,당산역 쉽게 이동하기 쉽게 연결되어 점심먹고 가볍게 산책할 수 있는 최고의 장소
347,"적당히 여유로운 한강공원. 여의도, 반포 한강공원보다는 덜 유명하지만 선유도도 있고 합정, 망원 방향 한강 뷰도 멋있는 여유로운 한강공원입니다."
348,한강공원에서 선유도공원으로 연결되어 있고 아름답게 잘 꾸며져 있다
349,잘 되어있는 한강공원 지역이며  선유도에 가기에 가까운 한강 지역임
350,시원하고 산책하기 좋은 장소 입니다.
351,"걷기 좋은 장소였던 것 같아요~ 낚시를 즐기는 분들, 산책하는 분들도 많구요. 아주 아름답거나 하진 않습니다. 한강을 보면 답답했던 가슴이 뻥 뚫리는건 있는 것 같아요~"
352,양화대교및 운동기구가 잘 되어있네요
353,산책하기 좋은 곳
354,거 참 걷기 딱 좋은 날씨네~
355,자전거타기 좋음
356,"요즘 날씨 걷기에 딱
귀여운 강아지들도 만날 수 있음"
357,그늘막 후딱 치고 비누방울 공놀이 연날리기 하면서 애랑 놀아주면 두어시간 후딱 갑니다
358,"한적한  시골  같음.
Peaceful place inside Seoul"
359,평화로움 해질때..
360,자전거도로및 공원시설이  잘 되어 있는곳.
361,접근성이 좋음
362,화장실 편함
363,"갈대와 억새가 어우러져있고,
자전거도 여유롭게 탈수있고
한강이 여유롭게 흐르고있어서 너무 좋아요"
364,"가족, 연인과 함께 걷기 좋은 곳.. 선유도 공원도 가까워요"
365,선유도공원과 같이 한강의 정취를 즐길 수 있는 휴식처
366,주차하기 편하구 좋아요
367,그냥 평범한 한강변 공원입니다. 자전거 타는 분들 무척 많이 이용하는 곳
368,"관리가 잘 되어 있고, 오후의 한적한 시간을 즐길 수 있어요"
369,한강이라는 특수를 누리기에 좋아요 교통편도 좋구요
370,한강은 언제나 옳음
371,산책및 운동하기 좋아요..
372,좋음
373,"한강공원은 어디든 멋집니다. 많은 사람들이 이곳에 와서 즐거운 시간을 보내고 있습니다. 커플, 가족, 심지어 싱글이라도 강 전망을 즐기실 수 있습니다."
374,선유도를 갈 수 있어 산책 범위가 넓어요
375,가깝고 걷기가. 쾌적하다
376,👍 좋아요 ㅋㅋ 사람도 많지않아서 굳…
377,한가하고 좋아요 다른데보다 사람이 적어요
378,도심 속 진주
379,맥주 먹으면서 여유즐기기 좋은곳!!
380,시원한 풍경
381,야간 산책에도 좋으나.. 자전거가 너무 빨리 달림
