,여의도한강공원리뷰
55,서울최고의 벚꽃길 많은 사람들로 인해서 벚꽃과 사람 한강이 멋지게 감상할수 있는곳입니다. 그냥 딱 좋다라고 하면 될듯합니다. 주말에는 더욱더 터져나갈듯 합니다. 거의 만개에 가깝게 벚꽃들이 피고 있으니 빨리들 가보세요^^
56,역시 강바람이 시원한 한강공원🤗👍👍여름밤 로맨틱 최고…
57,"여의나루역에서 바로 밑에 위치해 있다. 먹을 것 많고 볼거리도 많은 공원.  돗자리를 대여하고 앉아, 음식을 먹고 있으면.. 순식간에 갈매기와 비둘기 떼가 날아와 위협하는 진풍경을 볼 수 있는 곳!  얘네들은 먹이를 던져주면 버릇 나빠져서 이곳저곳을 헤지는 성격이다. 보이는 즉시 서열정리를 확실하게 해주어 교육시켜주자. 그래야 추후 다른 사람들에게 피해 주지 않는다."
58,여름에는 6-8시에 가는것을 추천드립니다. 마포대교로 지는 노을이 멋있습니다😃…
59,"여러 조형물들, 넓고 아름다운 풍경! 그리고 밤에는 예쁜 야경과 조명이 있어서 감동을 느낄수 있었어요! 여자친구랑 그저 걷기만해도 행복한 시간을 보낼수 있었어요! 공원쪽으로 걷다가 63빌딩에 아쿠아리움이랑 전망대 보는것도 좋은 생각인거같아요😄…"
60,야경도 볼만하고 오랜만에 편의점 뽀글라면 너무 맛있게 먹고 왔네요. 산책하거나 돗자리 깔고 마음 편안하게 쉬면서 버스킹 하시는분의 부드러운 노랫소리도 어우러져 분위기 좋은 여유로운 시간이 되기에 적합한것 같습니다.
61,도시에서 가족이나 친구들과 산책하기좋은곳 낮이나 밤이나 안전한공원 대중교통 인프라가 잘 되있어 어디에서 오던 진입이 쉬워서 좋은곳 서울 한강공원은 여러분의 휴식처가 되어줄것입니다
62,세계에서 보기 드물게 잘 가꾸어진 강변입니다. 자전거 도로와 걷기 도로가 따로 있어서 비교적 안전 합니다. 다양한 문화행사가 이뤄집니다. 강물이 비교적 깨끗합니다.
63,낮에도 밤에도 이쁘고 쉬기 좋아요. 겨울엔 엄청 추워요
64,지금딱!!야장에서 단풍보며..맥주한잔하기 좋은!!
65,야경이 정말 좋고 경치를 보며 먹는 라면은 최고입니다
66,정말 몇년만에 다시가본 여의도한강공원~~ 넘나 달라졌네요~잘 조성해놨어요 BTS10주년기념행사 보러왔는데 외국인들도 많은데 한국의 한강도 사랑하게될듯♡
67,날씨가 좋은 날이면 와서 산책하러 옵니다. 선선할때는 음식 싸들고 피크닉 하기 좋습니다. 자전거 빌리는것도 어렵지 않고 자전거 도로도 잘 되어있어 자전거 타기도 좋습니다.
68,간만에 한강걷기~~소원트리와 한강의 야경과 더불어 라이브  노래를 들을 수 있어 한참 귀가 호강을 했네요. 또 하나의 재미는 한강호에서 라면.오뎅.떡볶이..추운. 칼바람을 맞으면서 먹는 갬성^^ 조용하게 걸으면서 생각에 빠지는것도  초강추! 마포대교의 밤 야경은 더할나위 없이 좋습니다.
69,안녕하세요. 저기 솔직히 말하면 사람들이 너무 많아서 길이 안 보였어요? 🌫 그리고 안 보여서 부딪칠 뻔했어요. 그리고 돗자리로 바닥에 깔려고 했는데요. 💺 자리가 없어서 곤란했어요? 그리고 화장실에서 도 줄을 써야 해서 너무 급한 사람이 오면 어떻게 해야 할까요? 🚹🚺화장실화장실 너무 급한 사람이 오면 그냥 양보를 해주세요?? 그리고 손을 잘 씻어서 나와주세요.
70,근처에 따릉이(자전거 대여 서비스)가 많으며 자전거 타기 좋고 귀여운 강아지가 많다. 벚꽃 시즌 최고... 일년 중 약 일주일 정도의 짧은 절정.  코로나 시기에도 윤중로는 폐쇄하지만 반대쪽의 한강공원은 개방해서 벚꽃을 즐길 수 있음
71,유람선 이용을 위해 야간방문 했는데 야경이 정말 예쁘고 공원 조성이 잘 되어 있었어요
72,"<더현대서울 -> 63아트 -> 여의도한강공원> 이 코스로 돌아보면 진짜 세상의 감성, 행복 다 가질 수 있습니다,,, 오후 3시부터 7시까지 총 4시간정도가 소요되었는데, 비가 내려서 무척 아쉬웠지만 저녁엔 기적처럼 먹구름들이 걷혀주더라구요 덕분에 어디서도 본적없는 예쁜 풍경들을 볼 수 있었답니다  뭉게구름 + 저녁노을 + 선선한바람 + 야경 = 사랑"
73,"불꽃축제가 있다고했는데 , 저는 축제 끝나는 시간에 갔어요. 야경  보려고 간거라서요."
74,ㆍ이곳은 사사철 도시에서는  좋은  곳이다 자녀 들과 연인과  함께하는  곳이다 식사시간이 되면  불편하다 배달음식도 편히 않아서드실 공간을 만든다면 좋겠다
75,산책하기도 좋고 아름다운공간
76,얻그저께부터 꽃이 만개하여 어제까지는 꽃도 단단하게 꽃잎이 흩날리지 않는다 금일부터 차량통제가 들어가는데 사람이 많을것으로 보여진다. 이번주 주말에 사람이 엄청 많고 날리는 꽃잎들이 아름다울것이라고 예상된다.
77,"오전에 비가 왔음에도 불구하고 많은 사람들이 공원에 나와 있었습니다,"
78,직장 동료들과 퇴근 후 오전에 갔는데 시원한 강바람에 구름이 낀 하루여서 애슐리퀸즈에서 점심식사 후 잔디밭에 돗자리 깔고 맥주와 새우깡을 먹으며  수다삼매경에 빠져서 시간 가는줄도 모르게 놀았어요~^^
79,힐링장소.서울시민이라는것이 감사.집앞 에 최고의 명소라니...어느 나라를가도 도심한가운데 이리큰강은 없지요!  bts축제하루전
80,날씨 좋은날 한강은 최고죠
81,"항상 좋은 느낌~!! 멋진 장소죠..👍👍👍 코로나19로 인해 조금은 침체되어 있지만, 그래도 심신의 노곤함을 싸~악~ 날려버릴수 있음은 늘 같은 느낌이네요..🎵 곳곳에 공원내 정비사업을 하고 있습니다. 동선이 조금 달라졌고요..🤔 간만에 석양도 감상하고~ 야경도 즐기고~ 🍀 길진 않았지만, 힐링하고 귀가합니다.😄"
82,주차가 유료라 좀 아쉽지만 오엔 레스토랑에서 차나 음식을 즐기고 주차확인을 받으면 된다. 강가를 따라 걸으면 힐링이 된다. 데이트코스로도 좋다. 가을에는 코스모스를 즐길 수 있었다.
83,데이트하기 좋은 장소. 계절에 따라 분위기가 달라서 시원하고 좋음.
84,"사랑하는 진영과 데이또한 한강공원ㅋㅋ 말로만 오자고 30,000번 얘기해놓고 쭈우욱 미루다 이제야 다녀왔네 게으른 날 용서해 진영띠ㅠㅠ 하와와 강바람 겁나 뼛속까지 에는것이애오ㄷㄷ하지만 나는 하아나도 안추웠다 사랑하는 진영과 같이 있으면 저어연혀 안춥다구 하하하하하하하하 하지만 꼭 라면은 끓이자마자 편의점 가까운데에서 바로 먹자 그래도 텐트에서 먹겠다고 끓여서 용기붙들고 와다다다 뛰어서 텐트까지 갔지만 띵띵 불어서 3인분이 되어부렀으ㅜㅜ 아 그리고 한강편의점에 네스퀵 초코바랑 죠스바 젤리 있을건데 그것들은 한강에 갔으면 반드시 잡솨봐야한다 개조오오ㅗㅗㅗㅗ온나 맛있거던 그것들은 꼭 먹어야해ㅠㅠ"
85,산책하기 좋은 코스. 주차장 O.
86,1년에 딱 한번 세계불꽃축제 너무너무 멋있어요!!
87,강아지와 함께하는 피크닉이다. 한강공원에서 첫 피크닉 이였는데 평온하고 좋았다. 돗자리는 편의점에서 5천원에 구매했다. 피크닉을 할꺼라면 미리 준비해서 가면 좋을 듯 하다. 비둘기가 많았지만 강아지와 함께라 강아지가 쫓아내줬다.
88,자전거도로도 잘 되어있고 시설이 좋다 돗자리 깔고 여유자적하게 시간을 보내면 잠시나마 바쁜 일상을 잊을수있다 먹거리도 잘 되어있다 배달도 가능하며 식당도 구비되어있는데 좀 비싼게 아쉽...그래도 분위기 빨로 갈만 하다
89,운동하기도 데이트 하기도 참 좋은 곳이다 그런데 수상에 떠있는 편의점 주변에서 악취는 고려해봐야 겠다
90,"산책하고 구경하고 자전거타고 걷고 마시고 수다떨기 너무 좋아요. 반려견이랑 같이 산책도 좋고, 배달존으로 먹거리 주문해서 받아와서 먹기도 좋고."
91,"몇 년만에 와봤는데 많이 좋아졌다. 어렸을 때 그리고 한 6,7년 전에 한창 스케이트보드 탈 때 그 이후에는 반포만 집 가까워서 많이 갔었는데 어제는 괜히 좋았다. 해외에서 일하면서 가장 그리웠던 것 중 하나가 한강에서 자유롭게 걷는 것. 비록 외노자지만 이래서 우리나라가 좋다."
92,"여전히 핫한 여의나루역 앞 한강공원. 여의도 한강공원 주차장은 주말만 되면 차량 줄이 길어서 들어가기 힘듬. 휴일에는 여의도 안에 길거리 주차장(평일엔 유료임)이 무료기 때문에 이쪽에 주차하고 걸어가거나 버스 타고 여의나루로 넘어가는 것이 좋다. 아이를 데리고 한강공원에 가니 화장실이 걱정이었는데, 서울시에서 화장실을 엄청 깨끗하게 관리하는지 예전의 모습을 찾아볼 수 없을 정도로 깨끗했다. 특히 가족화장실이 있어서 쾌적하게 아이와 볼일을 볼 수 있는게 가장 좋았다. 주변에 노점상에서 길거리 음식을 많이 팔고 돗자리도 팔기 때문에 먹거리도 걱정없고 사람이 많아서 사람 구경하기도 좋고, 버스킹도 하기 때문에 귀도 즐겁다. 사람이 많은 이유가 있는 듯하다.화장실가족화장실이 있어서 아이와 같이 가도 걱정이 없음피크닉 구역사람이 많지만 쓰레기통에 먹은 것을 버리고 가시는 분들이 많아서 대체로는 깨끗하다."
93,지난 주보다 훨씬 더 공공장소 주변이 청결해진 느낌이 들었고 전단지를 버릴 큰 전용 색색별 예쁜 쓰레기통이 생겨서 보기에도 좋았습니다 관광지로도 더욱 더 활성화 될 한국의 맨해튼 여의도의 명성에 걸 맞는 다양한 볼거리와 공연으로 더욱더 외국인 관광객들이 많이 찾는 곳이 되었으면 좋겠습니다
94,나이트런 42km참여하면서 일몰과 일출을 다 보았는데 정말 멋졌어요... 진짜 아름다운 곳입니다
95,한강공원중 가장 지하철에서의 접근성이 좋음.
96,여의도 한강에서의 모임은 언제나 즐겁습니다  한강라면은 필수예요
97,공용주차장에 주차하고 나들이다녀왔는데 역시 주말이라그런지 다들 텐트도치고. 돗자리도펴고 너무 여유로워보였어요 ㅎㅎ 저도 간단히 맥주한캔하면서 여유를 즐겼답니다. 돗자리나.텐트대여하는곳도 곳곳에보이고 안내문구잘읽으셔서 텐트설치되는곳이 있고 안되는곳도있고해요 ~ 평일에가시면 조금더 여유롭게 힐링하실수 있으세요  ~ 돗자리대여나 편의점에서 구매하시면 따로구매하는것보다 좀더 비싸니 챙겨가시는것도 추천!!
98,아이들이 물놀이하기 정말 좋아요~ 대신 옷을 갈아입힐만한 적당한 장소가 없어 아쉬워요
99,서울에 한강이 있다는게 정말 큰 축복이죠 밤과낮이 아름다운 곳이라서 데이트 하기 좋고 가족 나드리 좋고 주차비 합리적이고 지하철도 잘되있고
100,"물빛광장 보러 갔었어요~^^ 10월이지만 아직 물놀이하는 아이들도 있고 공원이 많이 넓지는 않지만 잔디가 깔린 곳이라면 사람들이 텐트치고, 돗자리깔고 앉아있었어요~ 배달은 배다존이 생겼더라구요.. 저도 처음 봄!! 배달존에서 배달기사님과 민나 결제하고 물건 받는 모습이 인상적이었어여. 그러면 공원 안으로 오토바이가 돌아다니는 일이 없을꺼니까요~ 사람이 많은 곳이었지만 화장실은 깨끗하고 좋았어요~👍 여의도3주차장과 가깝더라구요.. 공휴일에 갔지만 주차면도 좀 남아있었구요!! 암튼 사람구경, 하늘구경 잘 하고 왔어요~"
101,돗자리 담요 테이블까지 싹 빌릴 수 있어서 좋음 😘 버스킹 소리 살짝살짝 들려오고 분위기 좋고 - !  단지 단점은 음쓰냄새가 좀 심하다는 거 🤧🤧🤧🤧🤧
102,여의도 불꽃축제할때 가는 한강공원 사람도 엄청 많고 볼거리도 많은곳 폰카카 더 좋아서 불꽃놀이 보는것만큼 잘나왔으면 하는 기분이 계속 드는곳 2번출구쪽 공원에서 보는것보다 3번출구 방향쪽으로 가서 보는게 더 가까운곳에서 볼 수 있음.
103,요즘 날씨에 가기 너무 좋은 곳^^ 돗자리 꼭 챙겨가세요~~!! 사람 많아도 공간이 넓어서 괜찮아요^^
104,밤섬 마라톤 참여 겸 다녀왔습니다. 산책하고 러닝하기 좋아요
105,여의나루역 앞이라서 찾기도 쉽고 밤낮으로 가보기 좋은 곳인데요. 아름다운 한강주변의 야경을 둘러보았고 시원해서 좋습니다.
106,"4월 벚꽃만개로 너무 아름다운 곳, 사람들이 많이 찾는곳답게 강을 바라보며 배달음식을 먹으며 즐거운 시간을 보낼수 있지만 주차는 노답... 월요일 평일 낮시간임에도 불구하고 30분 넘게 기다려 주차를 할수 있었음 편의점, 노상 상점에서 파는 먹거리가 너무 다양하고(끓여먹는 라면 강추) 중국음식, 치킨, 피자 배달이 안되는것이 없음(주차장 입구에 배달존이 존재)"
107,낮에도 밤에도 여유와 즐거움의 바람이 불어오는 여의도한강공원. 텐트 치고 놀기 참 좋아요. 장소도  역에서 가깝고 텐트나 부대시설을 대여할 수 있는 곳도 많습니다. 초입은 복잡하지만 나만의 스팟(?)을 찾으면 주말은 금방 지나갑니다~
108,한강 나이트워트 한강의 야경을 보면서 해가지고 해뜨는모습까지 너무 아름다운 42km 여행을 하였습니다
109,"점점 발전하는 여의도 한강공원 여의나루역 쪽으로가면 푸드트럭들이 많다 푸드트럭보단 야시장이다 닭꼬치, 목살구이, 슬러시, 라면 등등 음식이 많다 편의점도 있어서 필요한것들을 구할 수 있지만 사람이 많다  한강공원엔 화장실도 많고 잔디밭과 시설물등이 잘 조성되어 있어서 이용하기좋다 먹은 음식들을 버릴 수 있는 대형 쓰레기통도 많이 위치하고 있어서 정말 편리하다  ☞솔직담백한 후기만 전하는 네오벨트레블☜"
